lat,lon,name,routes
33.727827,-84.443085,Cascade Ave SW @ Orlando St SW,{71}
33.734879,-84.436554,Cascade Ave SW @ Allegheny St SW,{71}
33.738094,-84.435317,Cascade Ave SW @ Westwood Ave SW,{71}
33.737154,-84.435783,Cascade Ave @ Rogers Ave,{71}
33.735372,-84.436595,Cascade Ave SW @ Olympian Way SW,{71}
33.729692,-84.440967,Cascade Ave SW @ Altadena Pl SW,{71}
33.727756,-84.443485,Cascade Ave @ Cascade Ter,{71}
33.737745,-84.435392,Cascade Ave SW @ Donnelly Ave SW,{71}
33.73874,-84.4336,Cascade Ave @ Ralph D Abernathy Blvd,{71}
33.733473,-84.437538,Cascade Ave SW @ Beecher St SW,{71}
33.732389,-84.438363,Cascade Ave SW @ Westhaven Dr SW,{71}
33.731556,-84.439176,Cascade Ave SW @ Richland Rd,{71}
33.726519,-84.44532,Cascade Ave SW @ Cascade Cir,{71}
33.729683,-84.440666,Cascade Ave SW @ Pineview Ter SW,{71}
33.731194,-84.439178,Cascade Ave SW @ Richland Rd SW,{71}
33.731964,-84.438454,Cascade Ave SW @ Westhaven Dr SW,{71}
33.702395,-84.149498,Fairington Rd @ Tiburon Dr,{86}
33.653275,-84.389267,Zip Industrial Blvd @ Southside Indu,{178}
33.614059,-84.517288,Roosevelt Hwy @ Feldwood Rd,{82 180}
33.61269,-84.52012,Roosevelt Hwy @ Feldwood Rd,{82 180}
33.611118,-84.523328,Roosevelt Hwy @ Welcome All Rd SW,{82 180}
33.621288,-84.505638,Roosevelt Hwy @ Ben Hill Rd,{180}
33.691595,-84.356725,Stonewall Dr SE @ Ohara Pl SE,{4}
33.691437,-84.352416,Valley View Rd SE @ 1086,{4}
33.691174,-84.360352,Forrest Park Rd SE @ Stonewall Dr SE,{4}
33.689859,-84.360329,Forrest Park Rd SE @ Midway St SE,{4}
33.67722,-84.41872,Sylvan Rd @ Cedar Ave,{172}
33.67918,-84.418526,Sylvan Rd @ S Fredell Cir,{172}
33.680786,-84.418488,Sylvan Rd @ Cleveland Ave,{172}
33.654934,-84.389046,Zip Industrial Blvd SE @ 3720,{178}
33.656818,-84.385529,Zip Industrial Blvd SE @ 3600,{178}
33.658184,-84.383408,Zip Industrial Blvd SE @ 3550,{178}
33.660477,-84.384552,Zip Industrial Blvd SE @ Browns Mill,{178}
33.663052,-84.385826,Hamilton Blvd @ 3400,{178}
33.618226,-84.510975,Roosevelt Hwy @ Delano Rd,{180}
33.61382,-84.517232,Roosevelt Hwy @ Delano Rd,{82 180}
33.612418,-84.520195,Roosevelt Hwy @ Feldwood Rd,{82 180}
33.610588,-84.523796,Roosevelt Hwy @ Welcome All Rd,{180}
33.624981,-84.492186,Washington Rd @ Spring St,{181}
33.623397,-84.492189,Washington Rd @ Roosevelt Hwy,{181}
33.62267,-84.494208,Roosevelt Hwy @ 3199,{181 180}
33.622361,-84.497492,Roosevelt Hwy @ Miller Rd,{181 180}
33.688134,-84.360042,Rebel Forest Dr SE @ Forrest Park Rd,{4}
33.688801,-84.35982,Redford Dr SE @ Forrest Park Rd SE,{4}
33.688577,-84.358016,Redford Dr SE @ 955,{4}
33.695377,-84.349421,Moreland Ave SE @ Key Rd SE,{4 49}
33.686264,-84.355156,Redford Dr SE @ Rebel Forest Dr SE,{4}
33.693259,-84.360169,Forrest Park Rd SE @ Constitution Rd SE,{4}
33.658552,-84.408972,S Central Ave @ Fulton Ave,{193}
33.665445,-84.428163,Willingham Dr @ Norman Berry Dr,{193}
33.720314,-84.312047,Flat Shoals Rd @ Shawn Wayne Ct,{74}
33.720239,-84.311453,Flat Shoals Rd @ Shawn Wayne Ct,{74}
33.701894,-84.147674,Fairington Rd @ Chupp Way,{86}
33.701315,-84.170042,Fairington Rd @ Walmart Dr,{86 117}
33.705959,-84.140274,Hillandale Dr @ 6136,{86 111}
33.703117,-84.376709,Jonesboro Rd SE @ Browns Mill Rd,{55}
33.721354,-84.314574,Flat Shoals Rd @ Woodcastle Ln,{74}
33.705078,-84.169656,Panola Rd @ Hillandale Park Ct,{117}
33.707488,-84.168748,Panola Rd @ Hillandale Dr,{117}
33.709088,-84.168601,Snapfinger Woods Dr @ Panola Rd,{111}
33.681225,-84.413862,Cleveland Ave SW @ 786,{78}
33.681263,-84.401062,Cleveland Ave SW @ Beeler Dr SW,{78}
33.68127,-84.40239,Cleveland Ave SW @ Third Ave,{78}
33.681303,-84.405325,Cleveland Ave SW @ Dearwood Dr SW,{78}
33.681346,-84.407551,Cleveland Ave SW @ Metropolitan Pkwy SW,{78}
33.667995,-84.363991,Hutchens Rd @ Katomarick Dr,{55}
33.623367,-84.492067,Washington Rd @ Roosevelt Hwy,{181}
33.625153,-84.492058,Washington Rd @ Spring St,{181}
33.631722,-84.492217,Washington Rd @ 4510,{181}
33.633033,-84.492233,Washington Rd @ N Commerce Dr,{181 84}
33.692396,-84.350364,Regis Rd SE @ Constitution Rd SE,{4}
33.693232,-84.359593,Constitution Rd @ Forrest Park Rd,{4}
33.651716,-84.513334,Centre Pkwy @ 1800,{84}
33.663447,-84.527261,Old Fairburn Rd @ Somerset Trl,{66}
33.709434,-84.175951,Snapfinger Woods Dr @ Lantrac Ct,{111}
33.709064,-84.170387,Snapfinger Woods Dr @ Panola Rd,{111}
33.708759,-84.168686,Snapfinger Woods Dr @ Panola Rd,{111}
33.707134,-84.169258,Panola Rd @ Panola Industrial Blvd,{117}
33.664308,-84.520998,Fairburn Rd @ Landing South Dr,{66}
33.664104,-84.523453,Fairburn Rd SW @ Welcome All Rd,{66}
33.709314,-84.173753,Snapfinger Woods Dr @ Park Central B,{111}
33.705357,-84.169937,Panola Rd @ Snapfinger Park Dr,{117}
33.702407,-84.149893,Fairington Rd @ Tiburon Dr,{86}
33.705636,-84.142776,Hillandale Dr @ Somerset Pkwy,{86 111}
33.666768,-84.432158,Willingham Dr @ Pennsylvania St,{193}
33.679523,-84.433418,Cleveland Ave @ Randall St,{78}
33.679518,-84.432041,Cleveland Ave @ Bayard St,{78}
33.681367,-84.416012,Cleveland Ave SW @ Springdale Rd SW,{78}
33.68118,-84.40826,Cleveland Ave SW @ Metropolitan Pkwy,{78}
33.681232,-84.405075,Cleveland Ave SW @ Dearwood Dr SW,{78}
33.68118,-84.402881,Cleveland Ave SW @ 3rd Ave SW,{78}
33.712308,-84.397707,Arthur Langford Jr Pl SW @ Booker St SW,{42}
33.707535,-84.38015,Jonesboro Rd @ Lakewood Ave,{55}
33.675796,-84.40845,Metropolitan Pky SW @ Steve Dr SW,{95}
33.780879,-84.161423,S Stone Mnt Lithonia Rd @ Wells Cir,{117}
33.700719,-84.375871,Browns Mill Rd SE @ Adelle St SE,{55}
33.698606,-84.374588,Browns Mill Rd SE @ 2039,{55}
33.771734,-84.163074,S Stone Mtn Lithonia Rd @ Shadow Rock Dr,{117}
33.725174,-84.447176,Cascade Ave SW @ 1120,{71}
33.723471,-84.449977,Cascade Ave SW @ Cascade Cir SW,{71}
33.736045,-84.116627,S Stone Mountain Lithonia Rd @ 2399,{116}
33.639231,-84.491564,Washington Rd @ Carmel Dr,{181 84}
33.633703,-84.492322,Washington Rd @ Spanish Trl,{181 84}
33.630875,-84.492203,Washington Rd @ 4555,{181}
33.627314,-84.491994,Washington Rd @ Hathcock Rd,{181}
33.687351,-84.357299,Rebel Forest Dr SE @ Natham Dr SE,{4}
33.65489,-84.40198,N Central Ave @ Lavista Dr,{95}
33.663007,-84.418195,Willingham Dr @ Colville Ave,{193}
33.66453,-84.424517,Willingham Dr @ 1053,{193}
33.666397,-84.43096,Willingham Dr @ Bachelor Ave,{193}
33.656252,-84.386809,Zip Industrial Blvd @ 3675,{178}
33.679839,-84.393117,Old Hapeville Rd @ Cleveland Ave,{178}
33.657782,-84.422793,N Inner Loop Rd @ Delta Blvd,{192}
33.657978,-84.422989,N Outer Loop Rd @ Delta Blvd,{192}
33.65531,-84.413235,N Outer Loop Rd @ Atlanta Ave,{192}
33.667433,-84.380236,Browns Mill Rd @ Oak Dr,{178}
33.680699,-84.375078,Cleveland Ave SE @ 445,{78}
33.654782,-84.412681,N Inner Loop Rd @ Atlanta Ave,{192}
33.67641,-84.384196,Browns Mill Rd @ Springside Dr,{178}
33.622563,-84.494608,Roosevelt Hwy @ 3199,{181 180}
33.681315,-84.413243,Cleveland Ave SW @ 757,{78}
33.741003,-84.195957,S Hairston Rd @ Big Valley Rd,{111}
33.730912,-84.393095,Pryor St SW @ Doane St SW,{42}
33.731064,-84.393062,Pryor St SW @ Doane St SW,{42}
33.733248,-84.393531,Central Ave SW @ Dodd Ave SW,{42}
