lat,lon,name,routes
33.700446,-84.39887,Lakewood Way SW @ Pryor Rd SW,{42}
33.703519,-84.408214,Metropolitan Pk @ Fair Dr,{95}
33.703702,-84.407895,Metropolitan Pk @ Fair Dr,{95}
33.702009,-84.148159,Fairington Rd @ Chupp Way,{86}
33.713254,-84.3666,Mcdonough Blvd SE @ Benteen Ave SE,{49}
33.709874,-84.272898,South Dekalb Mall (macy's),{15}
33.708133,-84.273011,South Dekalb Mall (picadilly),{15}
33.711765,-84.257336,Rainbow Dr @ 3260,{186}
33.721936,-84.37056,Englewood Ave SE @ Gault St SE,{49}
33.747517,-84.341214,Memorial Dr SE @ 1422,{21}
33.747518,-84.339703,Memorial Dr SE @ Eastside Ave SE,{21}
33.747253,-84.328728,Memorial Dr SE @ Wilkinson Dr SE,{21}
33.747366,-84.326321,Memorial Dr SE @ Warren St SE,{21}
33.747296,-84.32365,Memorial Dr SE @ Eleanor St,{21}
33.747239,-84.30507,Memorial Dr @ Carter Ave,{21}
33.747158,-84.302678,Memorial Dr @ Lake Dr SE,{21}
33.538074,-84.625431,Roosevelt Hwy @ Gullatt Rd,{180}
33.568725,-84.577697,NW Broad St @ 152,{181 180}
33.553297,-84.598339,Roosevelt Hwy @ Village Center Blvd,{180}
33.541334,-84.617043,Roosevelt Hwy @ Bishop Rd,{180}
33.537542,-84.63414,Roosevelt Hwy @ Hobgood Rd,{180}
33.529376,-84.658061,Roosevelt Hwy @ Walnut Way,{180}
33.523095,-84.66598,Main St @ Harris Ave,{180}
33.520394,-84.667713,Main St @ Jackson Ave,{180}
33.517397,-84.669803,Main St @ Toombs St,{180}
33.53603,-84.64173,Roosevelt Hwy @ Tatum Rd,{180}
33.526527,-84.663474,Main St @ Griffith Dr,{180}
33.91898,-84.36752,Hammond Dr @ Brookgreen Rd,{87}
34.039564,-84.3428,Alpharetta Hwy @ Commerce Pkwy,{185}
33.733852,-84.34021,Flat Shoals Ave SE @ East Side Ave,{74}
33.74014,-84.33985,Glenwood Ave SE @ Eastside Ave SE,{107}
33.740008,-84.338191,Glenwood Ave @ Blake Ave SE,{107}
33.740168,-84.34531,Glenwood Ave SE @ Flat Shoals Ave SE,{107}
33.739954,-84.340209,Glenwood Ave SE @ Eastside Ave SE,{107}
33.74945,-84.392775,Pryor St SW @ Trinity Ave SW,{42}
33.751593,-84.391066,Pryor St @ Martin L King Jr Dr,{186}
33.747509,-84.338616,Memorial Dr SE @ Lamon Ave SE,{21}
33.747491,-84.33755,Memorial Dr SE @ 1599,{21}
33.747429,-84.33193,Memorial Dr SE @ Clifton St SE,{21}
33.750645,-84.38423,Jesse Hill Jr Dr SE @ Decatur St SE,{107}
33.742933,-84.39454,Pryor St SW @ Alice St SW,{42}
33.74202,-84.39455,Pryor St SW @ Fulton St SW,{42}
33.742935,-84.393322,Central Ave SW @ Alice St SW,{42}
33.536102,-84.641882,Roosevelt Hwy @ Wilkerson Mill Rd,{180}
33.526647,-84.663621,Main St @ Griffith Dr,{180}
33.523399,-84.665416,Main St @ Sims St,{180}
33.560566,-84.587129,W Broad St @ Brooks Dr,{180}
33.756223,-84.291402,S Candler St @ Overlook Bluff,{15}
33.753878,-84.291914,Candler St @ E Pharr Rd,{15}
33.747221,-84.302624,Memorial Dr @ Lake Dr SE,{21}
33.569725,-84.562336,Hwy 138 @ Parkway Rd,{181}
33.750585,-84.395177,Forsyth St SW @ Trinity Ave SW,{49}
33.750513,-84.396264,Trinity Ave SW @ Ted Turner Dr SW,{49}
33.754496,-84.291707,S Candler St @ Candler Dr,{15}
33.753296,-84.291936,S Candler St @ E Pharr Rd,{15}
33.755059,-84.291718,Candler St @ Candler Dr,{15}
33.751678,-84.292442,Candler Rd @ Hosea L Williams Dr,{15}
33.528321,-84.660799,Roosevelt Hwy @ Phipps Rd,{180}
33.537684,-84.626017,Roosevelt Hwy @ Gullatt Rd,{180}
33.739058,-84.343918,Flat Shoals Ave SE @ May Ave SE,{74}
33.747318,-84.298141,Memorial Dr SE @ Daniel Ave,{21}
33.747322,-84.295959,Memorial Dr SE @ Spence Ave,{21}
33.747111,-84.291634,Memorial Dr SE @ Candler Rd SE,{21}
33.747246,-84.289169,Memorial Dr SE @ Ellington St,{21}
33.74679,-84.379031,Memorial Dr SE @ Hill St SE,{107 21}
33.745662,-84.379324,Hill St SE @ Woodward Ave SE,{186}
33.746653,-84.362193,Memorial Dr SE @ Pearl St SE,{107 21}
33.746591,-84.361791,Memorial Dr SE @ Pearl St SE,{107 21}
33.743068,-84.398382,Windsor St SW @ Eugenia St SW,{49}
