lat,lon,name,routes 
33.745994,-84.220369,Covington Hwy @ 4523,{107 115}
33.745851,-84.220033,Covington Hwy @ 4537,{107 115}
33.744507,-84.219045,Covington Hwy @ Belvedere Sq,{107 115}
33.736588,-84.216347,Covington Hwy @ Glenwood Rd,{115}
33.735203,-84.21508,Covington Hwy @ Hanes Dr,{115}
33.73495,-84.214382,Covington Hwy @ Wesley Chapel Rd,{115}
33.735793,-84.415206,Oglethorpe Ave SW @ Evans St SW,{81}
33.73859,-84.39812,Windsor St @ Glenn St SW,{49}
33.737147,-84.40227,Ralph D Abernathy Blvd @ Mcdaniel Stsw,{40}
33.731415,-84.241641,Snapfinger Rd @ Chestnut Hill Cir (w),{86}
33.720126,-84.490309,Cascade Rd SW @ Childress Dr,{71}
33.727117,-84.39295,Pryor Rd SW @ Ridge Ave SW,{55 42}
33.730306,-84.387916,Hank Aaron Dr @ Atlanta Ave SE,{55}
33.72916,-84.38816,Hank Aaron Dr @ Vanira Ave SE,{55}
33.728989,-84.387825,Hank Aaron Dr @ Vanira Ave SE,{55}
33.728348,-84.388199,Hank Aaron Dr @ 964,{55}
33.667462,-84.434325,Willingham Dr @ Harrison Rd,{193}
33.668365,-84.437127,Willingham Dr @ Cherry St,{193}
33.609378,-84.471151,Old National Hwy @ Biscayne Dr,{89}
33.604322,-84.472084,Old National Hwy @ Jerome Rd,{89}
33.596357,-84.468803,Old National Hwy @ Burdett Rd,{89}
33.594978,-84.468704,Old National Hwy @ 5917,{89}
33.593441,-84.468414,Old National Hwy @ Lantern Ln,{89}
33.590997,-84.468731,Old National Hwy @ Wexford Dr,{89}
33.594955,-84.468369,Old National Hwy @ Burdett Rd,{89}
33.681058,-84.396581,Cleveland Ave SW @ Steele Ave SW,{78}
33.729323,-84.238426,Snapfinger Rd @ Chestnut Hill Cir (e),{86}
33.728575,-84.237443,Snapfinger Rd @ Rollingview Dr,{86}
33.727243,-84.213939,Wesley Chapel Rd @ Wesjay Ln,{111}
33.729454,-84.214088,Wesley Chapel Rd @ Maplewood Dr,{111}
33.736862,-84.397915,Ralph David Abernath Blvd @ Windsor S,{49}
33.738157,-84.40843,Ralph D Abernathy Blvd @ Metropolitan Pkwy SW,{95 40}
33.739531,-84.394602,Pryor St SW @ Crumley St SW,{42}
33.721921,-84.458451,Cascade Rd SW @ Boulevard Lorraine SW,{71}
33.721501,-84.466122,Cascade Rd SW @ Venetian Dr SW,{71}
33.732205,-84.424288,Lawton St SW @ Donnelly Ave SW,{81}
33.734623,-84.423302,Lawton St SW @ Mathews St SW,{81}
33.734406,-84.387848,Hank Aaron Dr @ Bill Lucas Dr SE,{55}
33.732845,-84.387749,Hank Aaron Dr SW @ Little St SE,{55}
33.735856,-84.394812,Pryor St @ Bass St,{42}
33.733384,-84.388108,Hank Aaron Dr SW @ Little St SE,{55}
33.733317,-84.397129,Cooper St @ Dodd Ave,{42}
33.72089,-84.468656,Cascade Rd SW @ Audubon Ct,{71}
33.734077,-84.407982,Metropolitan Pky SW @ Shelton Ave SW,{95}
33.764675,-84.255757,Memorial Dr @ 3978,{21}
33.786699,-84.264754,E Ponce De Leon Ave @ Paloma Dr,{120}
33.740581,-84.122913,East Dekalb Health Center,{116}
33.701506,-84.351036,Kipling St SE @ 1088,{49}
33.671535,-84.514315,Fairburn Rd SW @ 3070,{66}
33.766713,-84.520928,Wendell Dr SW @ Wendell Ct SW,{73}
33.766615,-84.520928,Wendell Dr SW @ Wendell Ct SW,{73}
33.794489,-84.449047,Perry Blvd NW @ Odessa Dr,{26}
33.731844,-84.390618,Ormond St SW @ Pollard Blvd,{49}
33.759895,-84.191734,Redan Rd @ 4911,{116}
33.706203,-84.119039,Chupp Rd @ 6698,{111}
33.736873,-84.394643,Pryor St @ Ralph David Abernathy Blvd,{42}
33.597991,-84.54851,Stonewall Tell Rd @ Roosevelt Hwy,{180}
33.580214,-84.530436,Oakley Rd @ Shannon Blvd,{181}
